,name,price,old_price,rating
0,Fingerprint Touch Noise- Cancellation Stereo Bluetooth Headset - Black,GH₵ 27.84,"GH₵ 51.00
45%","3.8 out of 5
(216)"
1,Wireless Pods 13 Bluetooth Earphone - Black,GH₵ 33.60,"GH₵ 69.00
51%","3.9 out of 5
(257)"
2,IOOIOO F9 Bluetooth Earbuds - Black,GH₵ 59.00,"GH₵ 116.00
49%","4.2 out of 5
(233)"
3,Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,"GH₵ 56.00
43%","4 out of 5
(104)"
4,PRO6 Bluetooth Headsets sport Headphones Charging box For all smartphones,GH₵ 49.00,"GH₵ 96.00
49%","4.3 out of 5
(23)"
5,In-Ear Touchscreen Bluetooth Headset Wireless Earphones-Black,GH₵ 47.04,"GH₵ 127.00
63%","4.1 out of 5
(178)"
6,F9 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android,GH₵ 62.00,"GH₵ 120.00
48%","4.2 out of 5
(26)"
7,Bluetooth Wireless Earphones,GH₵ 40.74,"GH₵ 82.00
50%","4.3 out of 5
(61)"
8,Pro6 Wireless Earphone Earbuds Bluetooth 5.0 For Samsung IPhone Apple Xiaomi Huawei IOS/Android,GH₵ 62.00,"GH₵ 120.00
48%","4.2 out of 5
(23)"
9,Bluetooth Earphone V5.0-Black,GH₵ 29.00,"GH₵ 51.00
43%","4.4 out of 5
(7)"
10,"PRO2 Wireless Earbuds, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro",GH₵ 29.00,"GH₵ 42.00
31%","4 out of 5
(18)"
11,Hbs730 Neck Wear Type Bluetooth HiFi Wireless HeadsetWireless Earbuds Stereo Bluetooth Headphones H17T,GH₵ 58.00,"GH₵ 81.00
28%","3.7 out of 5
(11)"
12,TWS Mini Air Wireless Bluetooth Ear Pods Pro 4 - White,GH₵ 50.00,"GH₵ 98.00
49%","3.8 out of 5
(123)"
13,Handsfree Wireless Bluetooth Earphones - Black,GH₵ 34.00,"GH₵ 80.00
48%","4.3 out of 5
(3)"
14,Mini Bluetooth Wireless Invisible Earbuds Sports Headphones,GH₵ 42.00,"GH₵ 139.00
10%","3.8 out of 5
(20)"
15,"V1 gaming headset, available for PS4 and PC",GH₵ 125.00,"GH₵ 135.00
46%","4.5 out of 5
(6)"
16,Wireless Bluetooth Earphone Sports Headset Stereo Earbuds for Phone,GH₵ 73.00,"GH₵ 105.00
38%","3 out of 5
(3)"
17,P47 Wireless Bluetooth Headset - Black Buy One Get One Free,GH₵ 65.00,"GH₵ 82.00
48%","3.8 out of 5
(20)"
18,Mini Bluetooth Wireless Invisible Earbuds Sports Headphones,GH₵ 43.00,"GH₵ 61.00
38%","3.6 out of 5
(9)"
19,PRO3 portable Mini Bluetooth headset Wireless Invisible Earbuds Sports Headphones,GH₵ 38.00,"GH₵ 65.00
51%","5 out of 5
(1)"
20,Fingerprint Bluetooth Headset - Black,GH₵ 32.00,"GH₵ 299.00
32%","3.9 out of 5
(23)"
21,Wireless YS-668 Bluetooth Portable Headphones with Stereo FM Headset - Black,GH₵ 60.00,"GH₵ 61.00
38%","3.5 out of 5
(23)"
22,Oraimo FreePods 3 OEB- E104D True Wireless Stereo Earbuds -Black,GH₵ 202.00,"GH₵ 616.00
50%","4.8 out of 5
(17)"
23,"PRO3 Wireless Earbuds, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IPX7",GH₵ 38.00,"GH₵ 146.00
14%","3.7 out of 5
(3)"
24,Awei A780BL BT 5.0 Headphone Wireless&Wired Stereo Headset with Microphone Deep Bass Gaming Music Computer Phone Headset IPX5 Waterproof Support TF Card Compatible with iOS Android Mobile Phones Computers / Black,GH₵ 308.00,"GH₵ 58.00
50%","4.5 out of 5
(2)"
25,"V1 gaming headset, available for PS4 and PC",GH₵ 125.00,"GH₵ 102.00
49%","4.3 out of 5
(10)"
26,Neck Hanging Wireless Bluetooth Earphone Stereo Bass-Black,GH₵ 29.00,"GH₵ 100.00
10%","4 out of 5
(1)"
27,Pods Pro3 Wireless Bluetooth Earphone Pods,GH₵ 52.00,"GH₵ 429.00
67%","3.2 out of 5
(6)"
28,Sony MDR-ZX110AP Stereo Headphone - White,GH₵ 90.00,"GH₵ 200.00
39%","4 out of 5
(1)"
29,TWS Pro 6 Smart Touch Wireless Bluetooth Deep 3D Bass Stereo Headphones - White,GH₵ 141.90,"GH₵ 62.00
29%","5 out of 5
(1)"
30,"Virtual Reality Headset, Game/movie/3D VR Glasses VR Box For Any Phone- Blu-ray Eye Gog Gles",GH₵ 122.00,"GH₵ 680.00
50%","4 out of 5
(118)"
31,Earphones Stereo Mic Earbuds With Charging Pods - Blue,GH₵ 44.00,"GH₵ 175.00
27%","3.8 out of 5
(74)"
32,F180 Wireless BT Keyboard 360 Degree Rotating,GH₵ 340.00,"GH₵ 189.00
47%","3.8 out of 5
(235)"
33,T WS Bluetooth headset + ios smart watch waterproof sports combination affordable set,GH₵ 127.00,"GH₵ 751.00
30%","4.6 out of 5
(102)"
34,Hands Free Mini Auriculares Bluetooth Headset Earphone Wireless Headphones Ear Phone Handsfree Earbuds(White Gold),GH₵ 100.00,"GH₵ 88.00
14%","3.3 out of 5
(16)"
35,Isk Fully Enclosed Dynamic Stereo Monitor Wired Headset,GH₵ 526.00,"GH₵ 26.00
50%","4.1 out of 5
(378)"
36,QKZ VK3 In-ear Headphones with Microphone Metal Heavy Bass Earphones,GH₵ 76.00,"GH₵ 280.00
50%",
37,Ear Hook Gel Set for Jabra EASYGO/EASYCALL/CLEAR/TALK Bluetooth Headset,GH₵ 13.00,"GH₵ 199.00
55%",
38,Gaming Headset Headphone for PC Laptop with Microphone with USB 3.5mm Interface LED Volume Control Over-ear Headphone,GH₵ 140.00,"GH₵ 130.00
46%",
39,DM-22 Magnetic Bluetooth Earphone DM-22 Neckband Sport headset with Mic Wireless Handsfree Earphoness(Black),GH₵ 89.00,"GH₵ 92.00
50%",
40,TWS BT5.0 Earphones Chargeable Stereo Sound Earbuds 800mah Headsets,GH₵ 69.90,"GH₵ 63.00
44%",
41,F9-32 Stereo Bluetooth Earphone long life headset earbuds,GH₵ 45.59,"GH₵ 108.00
58%",
42,i12 TWS Bluetooth 5.0 Earphone With Charging Box For Phone-White,GH₵ 35.00,"GH₵ 246.00
31%",
43,Air Pro 3 wireless bluetooth headset- white,GH₵ 45.00,"GH₵ 125.00
54%",
44,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 168.96,"GH₵ 49.00
41%",
45,Mini Pro 4 wireless sports bluetooth headset hands-free stereo noise reduction,GH₵ 57.23,"GH₵ 127.00
50%",
46,Sport Stereo In-Ear Wireless Bluetooth Earphone - Black,GH₵ 29.00,,
47,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - Black,GH₵ 63.05,,
